line_name,direction,stop_sequence,longitude,latitude,run_time_min,departure_hour,is_peak_hour,day_of_week_num,high_disruption_risk,is_weekend,hour_sin,hour_cos,time_of_day,lat_zone,route_complexity
22,inbound,5,0.265542,51.451925,1.0,13.0,0,0,0,0,-0.2588190451025208,-0.9659258262890683,midday,mid_south,5.0
22,inbound,6,0.256092,51.455842,1.0,13.0,0,0,0,0,-0.2588190451025208,-0.9659258262890683,midday,mid_south,6.0
22,inbound,7,0.273766,51.487945,11.0,13.0,0,0,0,0,-0.2588190451025208,-0.9659258262890683,midday,mid_north,77.0
22,inbound,8,0.282997,51.490458,2.0,13.0,0,0,0,0,-0.2588190451025208,-0.9659258262890683,midday,north,16.0
22,inbound,1,-0.330045,51.23282,5.0,14.0,0,0,0,0,-0.4999999999999997,-0.8660254037844388,midday,south,5.0
22,inbound,2,-0.324296,51.240849,5.0,14.0,0,0,0,0,-0.4999999999999997,-0.8660254037844388,midday,south,10.0
22,inbound,3,-0.290264,51.241436,10.0,14.0,0,0,0,0,-0.4999999999999997,-0.8660254037844388,midday,south,30.0
22,inbound,3,-0.290264,51.241436,10.0,15.0,0,0,0,0,-0.7071067811865471,-0.7071067811865479,midday,south,30.0
22,inbound,4,-0.209891,51.238481,10.0,15.0,0,0,0,0,-0.7071067811865471,-0.7071067811865479,midday,south,40.0
22,inbound,5,-0.166769,51.240682,5.0,15.0,0,0,0,0,-0.7071067811865471,-0.7071067811865479,midday,south,25.0
22,inbound,1,-0.166769,51.240682,10.0,16.0,1,0,0,0,-0.8660254037844385,-0.5000000000000004,evening_rush,south,10.0
22,inbound,3,-0.209799,51.237895,10.0,16.0,1,0,0,0,-0.8660254037844385,-0.5000000000000004,evening_rush,south,30.0
22,inbound,4,-0.29234,51.241448,10.0,16.0,1,0,0,0,-0.8660254037844385,-0.5000000000000004,evening_rush,south,40.0
22,inbound,2,-0.205519,51.237083,3.0,17.0,1,0,0,0,-0.9659258262890683,-0.25881904510252063,evening_rush,south,6.0
22,inbound,3,-0.209799,51.237895,3.0,17.0,1,0,0,0,-0.9659258262890683,-0.25881904510252063,evening_rush,south,9.0
22,inbound,4,-0.29234,51.241448,10.0,17.0,1,0,0,0,-0.9659258262890683,-0.25881904510252063,evening_rush,south,40.0
22,inbound,1,-0.166769,51.240682,5.0,18.0,1,0,0,0,-1.0,-1.8369701987210297e-16,evening_rush,south,5.0
22,inbound,2,-0.205519,51.237083,5.0,18.0,1,0,0,0,-1.0,-1.8369701987210297e-16,evening_rush,south,10.0
22,inbound,3,-0.209799,51.237895,3.0,18.0,1,0,0,0,-1.0,-1.8369701987210297e-16,evening_rush,south,9.0
22,inbound,4,-0.29234,51.241448,10.0,18.0,1,0,0,0,-1.0,-1.8369701987210297e-16,evening_rush,south,40.0
22,outbound,4,-0.29234,51.241448,10.0,7.0,1,0,0,0,0.9659258262890683,-0.25881904510252063,morning_rush,south,40.0
22,outbound,5,-0.324296,51.240849,10.0,7.0,1,0,0,0,0.9659258262890683,-0.25881904510252063,morning_rush,south,50.0
22,outbound,6,-0.330211,51.232597,5.0,7.0,1,0,0,0,0.9659258262890683,-0.25881904510252063,morning_rush,south,30.0
22,outbound,4,-0.29234,51.241448,10.0,8.0,1,0,0,0,0.8660254037844387,-0.4999999999999998,morning_rush,south,40.0
22,outbound,5,-0.324296,51.240849,10.0,8.0,1,0,0,0,0.8660254037844387,-0.4999999999999998,morning_rush,south,50.0
22,outbound,6,-0.330211,51.232597,5.0,8.0,1,0,0,0,0.8660254037844387,-0.4999999999999998,morning_rush,south,30.0
