line_name,direction,time_of_day,lat_zone,departure_hour,is_peak_hour,day_of_week_num,stop_sequence,latitude,longitude,run_time_min,is_weekend,hour_sin,hour_cos,route_complexity,high_disruption_risk
22,inbound,evening_rush,south,18.0,1,6,2,51.240849,-0.324296,5.0,1,-1.0,-1.8369701987210297e-16,10.0,1
22,inbound,evening_rush,south,18.0,1,6,3,51.241436,-0.290264,10.0,1,-1.0,-1.8369701987210297e-16,30.0,1
22,inbound,evening_rush,south,18.0,1,6,3,51.241436,-0.290264,10.0,1,-1.0,-1.8369701987210297e-16,30.0,1
22,inbound,evening_rush,south,19.0,0,5,1,51.23282,-0.330045,5.0,1,-0.9659258262890684,0.2588190451025203,5.0,1
22,inbound,evening_rush,south,19.0,0,5,1,51.23282,-0.330045,5.0,1,-0.9659258262890684,0.2588190451025203,5.0,1
22,inbound,evening_rush,south,19.0,0,5,2,51.240849,-0.324296,5.0,1,-0.9659258262890684,0.2588190451025203,10.0,1
22,inbound,evening_rush,south,19.0,0,5,2,51.240849,-0.324296,5.0,1,-0.9659258262890684,0.2588190451025203,10.0,1
22,inbound,evening_rush,south,19.0,0,5,3,51.241436,-0.290264,10.0,1,-0.9659258262890684,0.2588190451025203,30.0,1
22,inbound,evening_rush,south,19.0,0,5,3,51.241436,-0.290264,10.0,1,-0.9659258262890684,0.2588190451025203,30.0,1
22,inbound,evening_rush,south,19.0,0,6,1,51.23282,-0.330045,5.0,1,-0.9659258262890684,0.2588190451025203,5.0,1
22,inbound,evening_rush,south,19.0,0,6,2,51.240849,-0.324296,5.0,1,-0.9659258262890684,0.2588190451025203,10.0,1
22,inbound,evening_rush,south,19.0,0,6,3,51.241436,-0.290264,10.0,1,-0.9659258262890684,0.2588190451025203,30.0,1
22,inbound,late_night,south,20.0,0,5,4,51.238481,-0.209891,10.0,1,-0.8660254037844386,0.5000000000000001,40.0,1
22,inbound,late_night,south,20.0,0,5,5,51.240682,-0.166769,5.0,1,-0.8660254037844386,0.5000000000000001,25.0,1
22,inbound,late_night,south,21.0,0,5,1,51.240682,-0.166769,10.0,1,-0.7071067811865477,0.7071067811865474,10.0,1
22,inbound,late_night,south,21.0,0,5,4,51.241448,-0.29234,10.0,1,-0.7071067811865477,0.7071067811865474,40.0,1
22,inbound,late_night,south,21.0,0,5,4,51.241448,-0.29234,10.0,1,-0.7071067811865477,0.7071067811865474,40.0,1
22,inbound,late_night,south,22.0,0,5,1,51.240682,-0.166769,10.0,1,-0.5000000000000004,0.8660254037844384,10.0,1
22,inbound,late_night,south,22.0,0,5,1,51.240682,-0.166769,10.0,1,-0.5000000000000004,0.8660254037844384,10.0,1
22,inbound,late_night,south,22.0,0,5,3,51.237895,-0.209799,10.0,1,-0.5000000000000004,0.8660254037844384,30.0,1
22,inbound,late_night,south,22.0,0,5,3,51.237895,-0.209799,10.0,1,-0.5000000000000004,0.8660254037844384,30.0,1
22,inbound,late_night,south,22.0,0,5,4,51.241448,-0.29234,10.0,1,-0.5000000000000004,0.8660254037844384,40.0,1
22,inbound,late_night,south,22.0,0,5,4,51.241448,-0.29234,10.0,1,-0.5000000000000004,0.8660254037844384,40.0,1
22,inbound,late_night,south,23.0,0,5,1,51.240682,-0.166769,10.0,1,-0.25881904510252157,0.9659258262890681,10.0,1
22,inbound,late_night,south,23.0,0,5,1,51.240682,-0.166769,10.0,1,-0.25881904510252157,0.9659258262890681,10.0,1
22,inbound,late_night,south,23.0,0,5,3,51.237895,-0.209799,10.0,1,-0.25881904510252157,0.9659258262890681,30.0,1
22,inbound,late_night,south,23.0,0,5,4,51.241448,-0.29234,10.0,1,-0.25881904510252157,0.9659258262890681,40.0,1
22,inbound,midday,mid_north,10.0,0,0,7,51.487945,0.273766,11.0,0,0.49999999999999994,-0.8660254037844387,77.0,0
22,inbound,midday,mid_north,10.0,0,0,7,51.487945,0.273766,11.0,0,0.49999999999999994,-0.8660254037844387,77.0,0
22,inbound,midday,mid_north,10.0,0,0,7,51.487945,0.273766,11.0,0,0.49999999999999994,-0.8660254037844387,77.0,1
22,inbound,midday,mid_north,10.0,0,3,7,51.487945,0.273766,11.0,0,0.49999999999999994,-0.8660254037844387,77.0,0
22,inbound,midday,mid_north,10.0,0,3,7,51.487945,0.273766,11.0,0,0.49999999999999994,-0.8660254037844387,77.0,0
22,inbound,midday,mid_north,10.0,0,4,7,51.487945,0.273766,11.0,0,0.49999999999999994,-0.8660254037844387,77.0,0
22,inbound,midday,mid_north,10.0,0,4,7,51.487945,0.273766,11.0,0,0.49999999999999994,-0.8660254037844387,77.0,0
22,inbound,midday,mid_north,11.0,0,0,7,51.487945,0.273766,11.0,0,0.258819045102521,-0.9659258262890682,77.0,0
22,inbound,midday,mid_north,11.0,0,0,7,51.487945,0.273766,11.0,0,0.258819045102521,-0.9659258262890682,77.0,0
22,inbound,midday,mid_north,11.0,0,0,7,51.487945,0.273766,11.0,0,0.258819045102521,-0.9659258262890682,77.0,1
22,inbound,midday,mid_north,11.0,0,3,7,51.487945,0.273766,11.0,0,0.258819045102521,-0.9659258262890682,77.0,0
22,inbound,midday,mid_north,11.0,0,3,7,51.487945,0.273766,11.0,0,0.258819045102521,-0.9659258262890682,77.0,0
22,inbound,midday,mid_north,11.0,0,4,7,51.487945,0.273766,11.0,0,0.258819045102521,-0.9659258262890682,77.0,0
22,inbound,midday,mid_north,11.0,0,4,7,51.487945,0.273766,11.0,0,0.258819045102521,-0.9659258262890682,77.0,0
22,inbound,midday,mid_north,12.0,0,0,7,51.487945,0.273766,11.0,0,1.2246467991473532e-16,-1.0,77.0,0
22,inbound,midday,mid_north,12.0,0,0,7,51.487945,0.273766,11.0,0,1.2246467991473532e-16,-1.0,77.0,0
22,inbound,midday,mid_north,12.0,0,0,7,51.487945,0.273766,11.0,0,1.2246467991473532e-16,-1.0,77.0,1
22,inbound,midday,mid_north,12.0,0,3,7,51.487945,0.273766,11.0,0,1.2246467991473532e-16,-1.0,77.0,0
22,inbound,midday,mid_north,12.0,0,3,7,51.487945,0.273766,11.0,0,1.2246467991473532e-16,-1.0,77.0,0
22,inbound,midday,mid_north,12.0,0,4,7,51.487945,0.273766,11.0,0,1.2246467991473532e-16,-1.0,77.0,0
22,inbound,midday,mid_north,13.0,0,0,7,51.487945,0.273766,11.0,0,-0.2588190451025208,-0.9659258262890683,77.0,0
22,inbound,midday,mid_north,13.0,0,0,7,51.487945,0.273766,11.0,0,-0.2588190451025208,-0.9659258262890683,77.0,0
22,inbound,midday,mid_north,13.0,0,0,7,51.487945,0.273766,11.0,0,-0.2588190451025208,-0.9659258262890683,77.0,1
22,inbound,midday,mid_north,13.0,0,3,7,51.487945,0.273766,11.0,0,-0.2588190451025208,-0.9659258262890683,77.0,0
22,inbound,midday,mid_north,13.0,0,3,7,51.487945,0.273766,11.0,0,-0.2588190451025208,-0.9659258262890683,77.0,0
22,inbound,midday,mid_north,13.0,0,4,7,51.487945,0.273766,11.0,0,-0.2588190451025208,-0.9659258262890683,77.0,0
22,inbound,midday,mid_south,10.0,0,0,3,51.450767,0.280411,2.0,0,0.49999999999999994,-0.8660254037844387,6.0,0
22,inbound,midday,mid_south,10.0,0,0,3,51.450767,0.280411,2.0,0,0.49999999999999994,-0.8660254037844387,6.0,0
22,inbound,midday,mid_south,10.0,0,0,3,51.450767,0.280411,2.0,0,0.49999999999999994,-0.8660254037844387,6.0,1
22,inbound,midday,mid_south,10.0,0,0,4,51.451195,0.277038,1.0,0,0.49999999999999994,-0.8660254037844387,4.0,0
22,inbound,midday,mid_south,10.0,0,0,4,51.451195,0.277038,1.0,0,0.49999999999999994,-0.8660254037844387,4.0,1
22,inbound,midday,mid_south,10.0,0,0,5,51.451925,0.265542,1.0,0,0.49999999999999994,-0.8660254037844387,5.0,0
22,inbound,midday,mid_south,10.0,0,0,5,51.451925,0.265542,1.0,0,0.49999999999999994,-0.8660254037844387,5.0,1
22,inbound,midday,mid_south,10.0,0,0,6,51.455842,0.256092,1.0,0,0.49999999999999994,-0.8660254037844387,6.0,0
22,inbound,midday,mid_south,10.0,0,0,6,51.455842,0.256092,1.0,0,0.49999999999999994,-0.8660254037844387,6.0,1
22,inbound,midday,mid_south,10.0,0,3,3,51.450767,0.280411,2.0,0,0.49999999999999994,-0.8660254037844387,6.0,0
22,inbound,midday,mid_south,10.0,0,3,3,51.450767,0.280411,2.0,0,0.49999999999999994,-0.8660254037844387,6.0,0
22,inbound,midday,mid_south,10.0,0,3,4,51.451195,0.277038,1.0,0,0.49999999999999994,-0.8660254037844387,4.0,0
22,inbound,midday,mid_south,10.0,0,3,4,51.451195,0.277038,1.0,0,0.49999999999999994,-0.8660254037844387,4.0,0
22,inbound,midday,mid_south,10.0,0,3,5,51.451925,0.265542,1.0,0,0.49999999999999994,-0.8660254037844387,5.0,0
22,inbound,midday,mid_south,10.0,0,3,5,51.451925,0.265542,1.0,0,0.49999999999999994,-0.8660254037844387,5.0,0
22,inbound,midday,mid_south,10.0,0,3,6,51.455842,0.256092,1.0,0,0.49999999999999994,-0.8660254037844387,6.0,0
22,inbound,midday,mid_south,10.0,0,3,6,51.455842,0.256092,1.0,0,0.49999999999999994,-0.8660254037844387,6.0,0
22,inbound,midday,mid_south,10.0,0,4,3,51.450767,0.280411,2.0,0,0.49999999999999994,-0.8660254037844387,6.0,0
22,inbound,midday,mid_south,10.0,0,4,3,51.450767,0.280411,2.0,0,0.49999999999999994,-0.8660254037844387,6.0,0
22,inbound,midday,mid_south,10.0,0,4,4,51.451195,0.277038,1.0,0,0.49999999999999994,-0.8660254037844387,4.0,0
22,inbound,midday,mid_south,10.0,0,4,5,51.451925,0.265542,1.0,0,0.49999999999999994,-0.8660254037844387,5.0,0
22,inbound,midday,mid_south,10.0,0,4,5,51.451925,0.265542,1.0,0,0.49999999999999994,-0.8660254037844387,5.0,0
22,inbound,midday,mid_south,10.0,0,4,6,51.455842,0.256092,1.0,0,0.49999999999999994,-0.8660254037844387,6.0,0
22,inbound,midday,mid_south,10.0,0,4,6,51.455842,0.256092,1.0,0,0.49999999999999994,-0.8660254037844387,6.0,0
22,inbound,midday,mid_south,11.0,0,0,3,51.450767,0.280411,2.0,0,0.258819045102521,-0.9659258262890682,6.0,0
22,inbound,midday,mid_south,11.0,0,0,3,51.450767,0.280411,2.0,0,0.258819045102521,-0.9659258262890682,6.0,1
22,inbound,midday,mid_south,11.0,0,0,4,51.451195,0.277038,1.0,0,0.258819045102521,-0.9659258262890682,4.0,0
22,inbound,midday,mid_south,11.0,0,0,4,51.451195,0.277038,1.0,0,0.258819045102521,-0.9659258262890682,4.0,0
22,inbound,midday,mid_south,11.0,0,0,4,51.451195,0.277038,1.0,0,0.258819045102521,-0.9659258262890682,4.0,1
22,inbound,midday,mid_south,11.0,0,0,5,51.451925,0.265542,1.0,0,0.258819045102521,-0.9659258262890682,5.0,0
22,inbound,midday,mid_south,11.0,0,0,5,51.451925,0.265542,1.0,0,0.258819045102521,-0.9659258262890682,5.0,0
22,inbound,midday,mid_south,11.0,0,0,5,51.451925,0.265542,1.0,0,0.258819045102521,-0.9659258262890682,5.0,1
22,inbound,midday,mid_south,11.0,0,0,6,51.455842,0.256092,1.0,0,0.258819045102521,-0.9659258262890682,6.0,0
22,inbound,midday,mid_south,11.0,0,0,6,51.455842,0.256092,1.0,0,0.258819045102521,-0.9659258262890682,6.0,0
22,inbound,midday,mid_south,11.0,0,0,6,51.455842,0.256092,1.0,0,0.258819045102521,-0.9659258262890682,6.0,1
22,inbound,midday,mid_south,11.0,0,3,3,51.450767,0.280411,2.0,0,0.258819045102521,-0.9659258262890682,6.0,0
22,inbound,midday,mid_south,11.0,0,3,3,51.450767,0.280411,2.0,0,0.258819045102521,-0.9659258262890682,6.0,0
22,inbound,midday,mid_south,11.0,0,3,4,51.451195,0.277038,1.0,0,0.258819045102521,-0.9659258262890682,4.0,0
22,inbound,midday,mid_south,11.0,0,3,5,51.451925,0.265542,1.0,0,0.258819045102521,-0.9659258262890682,5.0,0
22,inbound,midday,mid_south,11.0,0,3,5,51.451925,0.265542,1.0,0,0.258819045102521,-0.9659258262890682,5.0,0
22,inbound,midday,mid_south,11.0,0,3,6,51.455842,0.256092,1.0,0,0.258819045102521,-0.9659258262890682,6.0,0
22,inbound,midday,mid_south,11.0,0,3,6,51.455842,0.256092,1.0,0,0.258819045102521,-0.9659258262890682,6.0,0
22,inbound,midday,mid_south,11.0,0,4,3,51.450767,0.280411,2.0,0,0.258819045102521,-0.9659258262890682,6.0,0
22,inbound,midday,mid_south,11.0,0,4,3,51.450767,0.280411,2.0,0,0.258819045102521,-0.9659258262890682,6.0,0
22,inbound,midday,mid_south,11.0,0,4,4,51.451195,0.277038,1.0,0,0.258819045102521,-0.9659258262890682,4.0,0
22,inbound,midday,mid_south,11.0,0,4,5,51.451925,0.265542,1.0,0,0.258819045102521,-0.9659258262890682,5.0,0
22,inbound,midday,mid_south,11.0,0,4,5,51.451925,0.265542,1.0,0,0.258819045102521,-0.9659258262890682,5.0,0
22,inbound,midday,mid_south,11.0,0,4,6,51.455842,0.256092,1.0,0,0.258819045102521,-0.9659258262890682,6.0,0
22,inbound,midday,mid_south,11.0,0,4,6,51.455842,0.256092,1.0,0,0.258819045102521,-0.9659258262890682,6.0,0
22,inbound,midday,mid_south,12.0,0,0,3,51.450767,0.280411,2.0,0,1.2246467991473532e-16,-1.0,6.0,0
22,inbound,midday,mid_south,12.0,0,0,3,51.450767,0.280411,2.0,0,1.2246467991473532e-16,-1.0,6.0,0
22,inbound,midday,mid_south,12.0,0,0,4,51.451195,0.277038,1.0,0,1.2246467991473532e-16,-1.0,4.0,0
22,inbound,midday,mid_south,12.0,0,0,4,51.451195,0.277038,1.0,0,1.2246467991473532e-16,-1.0,4.0,0
22,inbound,midday,mid_south,12.0,0,0,4,51.451195,0.277038,1.0,0,1.2246467991473532e-16,-1.0,4.0,1
22,inbound,midday,mid_south,12.0,0,0,5,51.451925,0.265542,1.0,0,1.2246467991473532e-16,-1.0,5.0,0
22,inbound,midday,mid_south,12.0,0,0,5,51.451925,0.265542,1.0,0,1.2246467991473532e-16,-1.0,5.0,1
22,inbound,midday,mid_south,12.0,0,0,6,51.455842,0.256092,1.0,0,1.2246467991473532e-16,-1.0,6.0,0
22,inbound,midday,mid_south,12.0,0,0,6,51.455842,0.256092,1.0,0,1.2246467991473532e-16,-1.0,6.0,0
22,inbound,midday,mid_south,12.0,0,0,6,51.455842,0.256092,1.0,0,1.2246467991473532e-16,-1.0,6.0,1
22,inbound,midday,mid_south,12.0,0,3,3,51.450767,0.280411,2.0,0,1.2246467991473532e-16,-1.0,6.0,0
22,inbound,midday,mid_south,12.0,0,3,3,51.450767,0.280411,2.0,0,1.2246467991473532e-16,-1.0,6.0,0
22,inbound,midday,mid_south,12.0,0,3,4,51.451195,0.277038,1.0,0,1.2246467991473532e-16,-1.0,4.0,0
22,inbound,midday,mid_south,12.0,0,3,4,51.451195,0.277038,1.0,0,1.2246467991473532e-16,-1.0,4.0,0
22,inbound,midday,mid_south,12.0,0,3,5,51.451925,0.265542,1.0,0,1.2246467991473532e-16,-1.0,5.0,0
22,inbound,midday,mid_south,12.0,0,3,5,51.451925,0.265542,1.0,0,1.2246467991473532e-16,-1.0,5.0,0
22,inbound,midday,mid_south,12.0,0,3,6,51.455842,0.256092,1.0,0,1.2246467991473532e-16,-1.0,6.0,0
22,inbound,midday,mid_south,12.0,0,3,6,51.455842,0.256092,1.0,0,1.2246467991473532e-16,-1.0,6.0,0
22,inbound,midday,mid_south,12.0,0,4,3,51.450767,0.280411,2.0,0,1.2246467991473532e-16,-1.0,6.0,0
22,inbound,midday,mid_south,12.0,0,4,3,51.450767,0.280411,2.0,0,1.2246467991473532e-16,-1.0,6.0,0
22,inbound,midday,mid_south,12.0,0,4,4,51.451195,0.277038,1.0,0,1.2246467991473532e-16,-1.0,4.0,0
22,inbound,midday,mid_south,12.0,0,4,5,51.451925,0.265542,1.0,0,1.2246467991473532e-16,-1.0,5.0,0
